id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<tfidf>	weight<Occurrences>	score<pageranks>
110	執	-0.3219	-0.1397	1	109	180.2597	0.0042	3	0.0055
111	代	-0.4864	-0.2218	1	87	142.5812	0.0022	3	0.0046
112	寢	-0.2598	-0.0242	1	81	133.6709	0.0023	3	0.0041
113	嚳	-0.9067	-0.1592	1	52	87.3178	0.0018	3	0.0029
114	處	-0.3072	0.0706	1	102	168.1523	0.0037	4	0.0051
115	世	-0.3788	0.0518	1	95	158.9379	0.0038	4	0.0048
116	論語注	-0.2742	0.0376	1	122	204.7277	0.0024	1	0.0062
117	崩	-0.6937	0.2012	1	93	153.5872	0.0038	3	0.0046
118	行露	-0.6301	0.2707	1	115	193.8249	0.0045	3	0.0058
119	序	-0.2552	0.1031	1	101	166.4273	0.004	4	0.005
120	祥	-0.4461	0.0583	1	97	160.8872	0.003	3	0.0049
121	改	-0.5235	0.1095	1	114	189.919	0.005	5	0.0057
122	承	-0.6811	0.4052	1	79	130.9727	0.0029	3	0.004
123	間	-0.3183	0.3941	1	73	117.741	0.0059	6	0.0037
124	正	-0.497	0.0378	1	90	146.8611	0.0123	15	0.0044
125	罪	-0.1482	0.3136	1	86	139.5374	0.0041	4	0.0044
126	歸藏	-0.1129	0.1362	1	90	148.6511	0.0009	1	0.0046
127	祈	-0.3136	-0.0549	1	88	143.541	0.0033	3	0.0044
128	關雎	-0.9654	0.456	1	39	64.6493	0.0015	3	0.0022
129	先公	-0.8046	0.4712	1	40	65.5454	0.0017	3	0.0023
130	七月	-0.7463	-0.0403	1	91	149.8579	0.0027	3	0.0045
131	衰	-0.38	0.3193	1	87	141.8201	0.0068	5	0.0043
132	頌	-0.5352	0.3376	1	91	148.5464	0.0033	2	0.0046
133	左	-0.6014	0.4391	1	79	130.2079	0.0031	3	0.004
134	喪禮	-0.4964	0.2476	1	86	139.5787	0.0012	1	0.0044
135	志	-0.229	0.0437	1	125	211.4593	0.0038	3	0.0064
136	文武	-0.8529	-0.0763	1	80	133.231	0.0045	4	0.0041
137	太平	-0.9278	0.4048	1	52	86.7017	0.0016	2	0.0028
138	厲王	-0.6544	0.0053	1	90	145.9593	0.0027	3	0.0045
139	武王	-0.8683	0.11	1	96	156.9039	0.0049	7	0.0048
140	右	-0.8359	0.2456	1	79	129.8019	0.0034	4	0.0042
141	疾	-0.5746	-0.1339	1	98	160.6747	0.0029	4	0.0049
142	會	-0.6665	-0.0855	1	120	200.1638	0.004	4	0.006
143	政	-0.726	0.3416	1	81	132.8897	0.0042	5	0.004
144	春秋	-0.4319	-0.1187	1	88	143.0392	0.0078	10	0.0045
145	麟趾	-0.8246	0.3704	1	58	97.2676	0.001	2	0.0031
146	述	-0.7341	0.3892	1	79	133.0616	0.0052	4	0.0041
147	連山	-0.0544	0.1277	1	92	152.406	0.0009	1	0.0047
148	記	-0.5894	0.0374	1	112	185.9697	0.0071	4	0.0056
149	后稷	-0.8628	-0.1934	1	57	95.1567	0.0031	3	0.0031
150	孔子	-0.5817	-0.0166	1	93	153.023	0.0051	6	0.0046
151	禹貢	0.4922	0.2821	2	29	49.2331	0.0005	1	0.0026
152	咫	1.0165	0.4893	2	18	30.247	0.0021	7	0.002
153	廣	0.9771	0.4907	2	17	28.4458	0.0028	7	0.0019
154	南	0.6455	0.2649	2	31	51.8356	0.0019	3	0.0028
155	種	1.1325	-0.0186	2	35	57.8366	0.0015	5	0.0028
156	二	1.0628	0.3704	2	35	58.4133	0.014	38	0.0034
157	古	0.8346	0.5033	2	16	27.5518	0.0087	12	0.0018
158	尺	1.056	0.4814	2	17	28.7257	0.0024	8	0.0019
159	田矢	1.1309	0.5671	2	13	21.0202	0.0025	3	0.0016
160	夷	0.9199	0.3086	2	32	52.3941	0.0051	5	0.0031
161	狄	0.9514	0.381	2	18	28.8863	0.0018	4	0.002
162	誤	1.0067	0.5232	2	18	30.5754	0.0017	4	0.002
163	四	1.101	0.2434	2	33	55.3596	0.0095	32	0.0031
164	蠻	0.985	0.36	2	19	30.4018	0.0021	4	0.002
165	積畫	0.9771	0.4597	2	16	26.6084	0.0009	3	0.0018
166	寸	1.0085	0.4524	2	16	26.6083	0.0027	9	0.0018
167	幅	0.913	0.4675	2	21	35.8648	0.0042	5	0.0022
168	矰矢	0.9676	0.5239	2	20	31.9144	0.0025	3	0.0021
169	閑	1.1862	-0.0086	2	34	56.4273	0.0015	5	0.0028
170	三年	-0.3539	-0.2864	1	57	94.8129	0.0034	5	0.0032
171	年	0.1579	-0.1075	2	10	16.08	0.006	11	0.0013
172	月	-0.3654	-0.1705	1	37	60.8237	0.0076	12	0.0022
173	夫人	-0.6097	-0.2445	1	71	116.5885	0.0052	5	0.0036
174	欲	-0.6153	-0.6021	1	29	46.1063	0.0059	9	0.002
175	穀梁傳	-0.1613	-0.2264	1	57	91.5427	0.0007	1	0.0033
176	宮	-0.5019	-0.1893	1	70	114.6331	0.0049	4	0.0038
177	公羊傳	-0.0774	-0.0297	1	45	71.82	0.0018	2	0.0027
178	祖	-0.8353	-0.409	1	35	58.2955	0.0122	17	0.0023
179	卒	-0.4136	-0.4422	1	21	34.1874	0.003	4	0.0014
180	主	-0.5408	-0.4221	1	30	48.2532	0.0124	18	0.0019
181	嫁	-0.5833	-0.2937	1	31	50.8286	0.0043	4	0.0018
182	異義	-0.4474	-0.2813	1	75	124.3612	0.0017	2	0.0039
183	哭	-0.4742	-0.4121	1	46	73.8735	0.0061	7	0.0026
184	父	-0.3698	-0.3255	1	37	60.1045	0.0094	13	0.0022
185	殯	-0.0655	-0.3367	1	26	42.3105	0.0039	5	0.0018
186	國語	-0.3771	-0.3689	1	68	109.558	0.0043	3	0.0037
187	天地	-0.5411	0.057	1	54	85.4147	0.0065	5	0.0029
188	閏月	-0.1252	-0.2109	1	31	50.4496	0.0027	4	0.002
189	令	-0.4567	-0.5384	2	53	84.6246	0.0049	4	0.0034
190	禮	-0.1372	-0.2972	2	20	31.6693	0.0269	56	0.0016
191	禘祫	-0.2583	-0.278	1	28	45.2749	0.0034	4	0.0018
192	閏	0.0509	-0.1124	2	28	45.4131	0.0021	3	0.0021
193	父母	-0.2814	-0.221	1	85	137.4643	0.0024	3	0.0043
194	傳	-0.3691	-0.0385	1	68	110.1662	0.0075	8	0.0036
195	衛	-0.1523	-0.323	1	62	100.8067	0.0071	6	0.0034
196	葬	-0.1018	-0.3034	1	21	34.3484	0.0072	10	0.0015
